stop_id,stop_name,stop_lat,stop_lon,location_type
740000359,Ottebol station,59.696103,12.469771,
740000360,Lycksele Resecentrum/Station,64.595360,18.667984,
740000361,Örebro Södra station,59.269985,15.202329,
740000362,Åseda station,57.167830,15.347095,
740000363,Veddige station,57.266938,12.337596,
740000364,Årjäng Busstationen,59.394407,12.131375,
740000365,Rimforsa station,58.135547,15.681699,
740000366,Mörrum station,56.186732,14.744670,
740000367,Malung centrum,60.683797,13.710869,
740000368,Bräkne-Hoby station,56.230880,15.115697,
740000370,Bovallstrand,58.474037,11.327221,
740000371,Hassela busstation,62.110203,16.706544,
740000372,Haparanda station,65.828367,24.131896,
740000373,Tibro busstation,58.425291,14.160837,
740000374,Kittelfjäll,65.249429,15.490242,
740000375,Forshaga Centrum,59.532738,13.480348,
740000376,Hagfors Busstationen,60.035459,13.693684,
740000377,Kåge C,64.832233,20.990055,
740000378,Fränsta station,62.496142,16.167502,
740000379,Aneby station,57.836233,14.810819,
740000380,Stöde station,62.419716,16.598610,
740000381,Munkfors Busstationen,59.834348,13.545841,
740000383,Barkarby station,59.404568,17.866055,
740000384,Surahammar station,59.706626,16.219685,
740000385,Tingsryd busstation,56.523998,14.975528,
740000386,Vedum station,58.169317,12.998538,
740000387,Malå busstation,65.183880,18.746651,
740000388,Gemla station,56.870071,14.644832,
740000389,Norsjö busstation,64.914477,19.484690,
740000390,Obbola Centralhållplats,63.701540,20.319008,
740000391,Robertsfors busstation,64.192305,20.847336,
740000392,Storvreta station,59.956065,17.706075,
740000394,Tärnaby busstation,65.710691,15.252423,
740000395,Åsele busstation,64.161654,17.350862,
740000397,Svedala station,55.506868,13.232410,
740000399,Vi centrum,62.428017,17.416210,
740000400,Bjästa busstation,63.201606,18.501742,
740000401,Bredbyn busstn,63.449068,18.107246,
740000402,Horred station,57.353342,12.477270,
740000403,Husum torget,63.329290,19.163414,
740000404,Gamleby station,57.896954,16.410235,
740000405,Mariannelund station,57.616407,15.585077,
740000406,Vansbro centrum,60.512026,14.226879,
740000407,Åkerstavägen,62.344252,17.018711,
740000408,Sveg station,62.035501,14.351596,
740000409,Kvissleby Njurundahallen,62.295498,17.379535,
740000410,Edane station,59.626829,12.829366,
740000411,Ramsele busstation,63.537084,16.469678,
740000413,Ramvik,62.818879,17.854651,
740000414,Fjällåsen station,67.518416,20.093422,
740000415,Rydsgård station,55.474233,13.587493,
740000417,Söråker köpcenter,62.506306,17.507319,
740000418,Högboda station,59.557620,13.051482,
740000419,Hällefors station,59.782636,14.518614,
740000420,Föllinge,63.670126,14.612784,
740000421,Strömsund busstation,63.849936,15.554988,
740000422,Gäddede busstation,64.503934,14.146050,
740000423,Hammarstrand busstation,63.108162,16.356164,
740000424,Björbo station,60.453458,14.729222,
740000425,Hammerdal busstation,63.582820,15.350216,
740000426,Fagerås station,59.519396,13.219949,
740000427,Hällekis station,58.630010,13.432555,
740000428,Storuman station,65.096995,17.112391,
740000429,Höglekardalen,63.078392,13.749215,
740000431,Garphyttan Kvarnvägen,59.308043,14.940556,
740000432,Vittsjö station,56.342113,13.663264,
740000433,Lysvik station,60.016032,13.137747,
740000434,Hoting station,64.115814,16.201975,
740000435,Ljungbyhed busstation,56.075325,13.233567,
740000436,Klimpfjäll,65.061949,14.800051,
740000438,Skyttorp station,60.079692,17.737155,
740000439,Forsheda station,57.163421,13.833089,
740000440,Bruksvägen,57.828223,12.014746,
740000441,Olofström station,56.279537,14.520084,
740000442,Järpås station,58.379245,12.969947,
740000445,Kall,63.473667,13.230247,
740000446,Äppelbo E16,60.490904,14.001138,
740000448,Edsåsdalen,63.315641,13.105983,
740000449,Ljungdalen,62.852863,12.790562,
740000450,Tollarp bibliotek,55.934328,13.974643,
740000451,Vilhelmina station,64.624719,16.656023,
740000452,Offerdal Ede,63.466259,14.013118,
740000453,Stora Blåsjön,64.836540,14.083623,
740000454,Stugun busstation,63.167567,15.596582,
740000455,Vålådalen fjällstation,63.148743,12.965211,
740000456,Kode station,57.944418,11.851007,
740000458,Vattholma station,60.025679,17.731060,
740000460,Färila busstation,61.798256,15.838681,
740000462,Mockfjärd gamla station,60.495737,14.958590,
740000463,Kårböle Pilgrimen,61.987152,15.298860,
740000464,Övertorneå busstation,66.390104,23.657564,
740000465,Bredaryd station,57.176325,13.738072,
740000466,Lugnås station,58.644555,13.702213,
740000467,Ullånger busstation,63.010922,18.188539,
740000468,Lyrestad station,58.805209,14.056947,
740000469,Sturkö Kvarnen,56.112955,15.681576,
740000470,Öregrund färjeläget,60.340584,18.446302,
740000471,"Sikeå E4, Robertsfors",64.168859,20.920380,
740000472,Yttermalung gamla station,60.580801,13.823710,
740000474,Klågerup busstation,55.597571,13.260224,
740000475,Bruksvallarna,62.637121,12.444377,
740000476,Örbyhus station,60.228695,17.705770,
740000477,Byske busstation,64.953986,21.203566,
740000478,Källby station,58.510590,13.302226,
740000480,Uddevalla Kampenhof,58.349913,11.930440,
740000481,Fjällnäs Högfjällspensionat,62.598283,12.179992,
740000482,Grythyttan station,59.704246,14.530401,
740000483,Gysinge Brukshandel,60.289729,16.885505,
740000484,Hova station,58.854713,14.215387,
740000485,Näsviken centrum,61.756718,16.866619,
740000486,Åkersjön,63.765046,14.080466,
740000488,Jämshög Bygatan,56.240676,14.530839,
740000489,Bispgården,63.027266,16.624751,
740000490,Klevshult station,57.352723,14.097368,
740000491,Funäsdalen busstation,62.545106,12.545374,
740000492,Arlanda Södra station,59.646172,17.928351,
740000493,Hede Härjedalen,62.418327,13.514386,
740000495,Klövsjö Torpvägen,62.519506,14.193627,
740000496,Falerum station,58.143424,16.207884,
740000497,Lofsdalen,62.112460,13.273735,
740000498,"Lövånger Busstation, Skellefteå",64.371137,21.306149,
740000499,Älvsered,57.241178,12.865693,
740000500,Berga station,57.216344,16.032714,
740000501,Rottneros station,59.795240,13.129148,
740000502,Svenljunga busstation,57.495251,13.108711,
740000503,Ytterhogdal station,62.197255,14.855226,
740000504,Västra Ämtervik station,59.727558,13.147136,
740000505,Smygehamn Ängavägen,55.345402,13.377708,
740000506,Ramundberget,62.700914,12.388692,
740000507,Spiken,58.690092,13.200767,
740000508,Tolita station,59.577857,13.239823,
740000510,Ekenässjön station,57.489661,15.019304,
740000511,Hovmantorp station,56.785842,15.140662,
740000512,Götene busstation,58.527416,13.491418,
740000513,Gråbo busstation,57.836804,12.298361,
740000514,Backe busstation,63.810716,16.405257,
740000515,Henån busstation,58.234591,11.681413,
740000516,Borensbergs bussterminal,58.562700,15.276473,
740000517,Simlångsdalen,56.720707,13.130410,
740000518,Anderstorp station,57.280395,13.627275,
740000519,Lagan Torggatan,56.916359,13.987339,
740000520,Påarp station,56.029265,12.817093,
740000521,Rödeby centrum,56.260703,15.618051,
740000523,Tranemo busstation,57.485131,13.351560,
740000524,Korsberga centrum,57.301195,15.125193,
740000525,Byxelkrok centrum,57.324395,17.008569,
740000526,Brunflo station,63.075860,14.832063,
740000527,Rossön södra,63.921243,16.339341,
740000529,Tänndalen,62.549243,12.309830,
740000530,Tännäs,62.442515,12.680771,
740000531,Blidsberg,57.930812,13.494388,
740000532,Vemdalen by,62.449579,13.863530,
740000533,Norrahammar station,57.704537,14.115452,
740000535,Näsåker Åkeriet,63.440680,16.907150,
740000536,Traryd Skolgatan,56.579560,13.746558,
740000537,Skånes-Fagerhult kyrka,56.368480,13.470006,
740000538,Junsele busstation,63.696110,16.879872,
740000539,Taberg station,57.678836,14.086893,
740000540,Lerum station,57.769359,12.272317,
740000541,Ånäset busstn,64.279721,21.043304,
740000542,Bäckebron station,59.661352,13.166227,
740000543,Gullringen station,57.802565,15.703519,
740000545,Skänninge station,58.392951,15.092572,
740000546,Mollaryd station,57.905981,13.022767,
740000547,Ormaryd station,57.664803,14.833298,
740000548,Kyrkhult,56.357125,14.587154,
740000549,Örkelljunga busstation,56.283185,13.281349,
740000551,Ringarum centrum,58.333516,16.445028,
740000552,Torpåkra station,57.940615,13.029492,
740000553,Kinna station,57.505979,12.698240,
740000554,Landvetter Airport,57.667881,12.295939,
740000555,Ljungby busstation,56.832134,13.936111,
740000556,Arlanda Centralstation,59.649570,17.929186,
740000557,Lindome station,57.576096,12.078477,
740000558,Borgholm busstation,56.882268,16.656249,
740000559,Knivsta station,59.725703,17.786688,
740000561,Mönsterås busstation,57.041151,16.447480,
740000564,Nättraby hörnet,56.206887,15.530721,
740000567,Bjärnum busstation,56.292206,13.710190,
740000569,Vårgårda station,58.031203,12.810289,
740000570,Linaälv station,67.254719,20.242435,
740000571,Piteå busstation,65.319911,21.473603,
740000572,Bergkvara busstation,56.394659,16.065301,
740000573,Sälen centrum,61.156713,13.265801,
740000574,Grövelsjön fjällstationen,62.098677,12.312653,
740000575,Älvdalen busstation,61.223119,14.044474,
740000576,Söderköping busstation,58.478117,16.323432,
740000577,Sorsele station,65.534859,17.543944,
